6. Last Refreshed,1. From_Currency Code,2. From_Currency Name,3. To_Currency Code,4. To_Currency Name,5. Exchange Rate,6. Last Refreshed,7. Time Zone,8. Bid Price,9. Ask Price
2020-06-26 14:47:31-03:00,USD,United States Dollar,BRL,Brazilian Real,5.44050000,2020-06-26 17:47:31,UTC,-,-
2020-06-26 14:47:35-03:00,USD,United States Dollar,BRL,Brazilian Real,5.44260000,2020-06-26 17:47:35,UTC,-,-
2020-06-26 14:48:15-03:00,USD,United States Dollar,BRL,Brazilian Real,5.44160000,2020-06-26 17:48:15,UTC,-,-
2020-06-26 14:49:16-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43600000,2020-06-26 17:49:16,UTC,-,-
2020-06-26 14:50:18-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43220000,2020-06-26 17:50:18,UTC,-,-
2020-06-26 14:51:19-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43240000,2020-06-26 17:51:19,UTC,-,-
2020-06-26 14:52:21-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43410000,2020-06-26 17:52:21,UTC,-,-
2020-06-26 14:53:22-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43510000,2020-06-26 17:53:22,UTC,-,-
2020-06-26 14:54:23-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43090000,2020-06-26 17:54:23,UTC,-,-
2020-06-26 14:56:03-03:00,USD,United States Dollar,BRL,Brazilian Real,5.43030000,2020-06-26 17:56:03,UTC,-,-
2020-06-26 14:56:31-03:00,USD,United States Dollar,BRL,Brazilian Real,5.42710000,2020-06-26 17:56:31,UTC,-,-
2020-06-26 14:57:32-03:00,USD,United States Dollar,BRL,Brazilian Real,5.42310000,2020-06-26 17:57:32,UTC,-,-
2020-06-26 14:57:35-03:00,USD,United States Dollar,BRL,Brazilian Real,5.42280000,2020-06-26 17:57:35,UTC,-,-
