,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,age
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,47.5112,-122.257,1340,5650,59
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,47.721000000000004,-122.319,1690,7639,63
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,47.7379,-122.23299999999999,2720,8062,82
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,47.5208,-122.39299999999999,1360,5000,49
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,47.6168,-122.045,1800,7503,28
5,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,47.6561,-122.005,4760,101930,13
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,47.3097,-122.32700000000001,2238,6819,19
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,47.4095,-122.315,1650,9711,52
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,47.5123,-122.337,1780,8113,55
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,47.3684,-122.031,2390,7570,12
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,47.6007,-122.145,2210,8925,50
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,47.69,-122.292,1330,6000,72
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,47.7558,-122.229,1780,12697,87
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,47.6127,-122.045,1370,10208,37
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,47.67,-122.39399999999999,1360,4850,115
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,47.5714,-122.375,2140,4000,36
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,47.7277,-121.962,1890,14018,20
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,47.6648,-122.34299999999999,1610,4300,98
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,47.3089,-122.21,1060,5095,93
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,47.3343,-122.306,1280,8850,46
