date,1. open,2. high,3. low,4. close,5. volume
2020-06-26 15:11:19-03:00,21.01,21.01,21.01,21.01,0.0
2020-06-26 15:10:00-03:00,20.99,21.02,20.99,21.0,91885.0
2020-06-26 15:09:00-03:00,21.0,21.01,20.98,21.0,33235.0
2020-06-26 15:08:00-03:00,21.0,21.01,20.99,21.01,24990.0
2020-06-26 15:07:00-03:00,21.02,21.03,21.0,21.0,27030.0
2020-06-26 15:06:00-03:00,21.02,21.04,21.02,21.03,19720.0
2020-06-26 15:05:00-03:00,21.03,21.04,21.02,21.03,39525.0
2020-06-26 15:04:00-03:00,21.02,21.05,21.02,21.04,24735.0
2020-06-26 15:03:00-03:00,21.02,21.05,21.01,21.02,104975.0
2020-06-26 15:02:00-03:00,21.01,21.02,21.0,21.02,21250.0
2020-06-26 15:01:00-03:00,21.01,21.02,20.99,21.01,75225.0
2020-06-26 15:00:00-03:00,21.0,21.03,21.0,21.01,58310.0
2020-06-26 14:59:00-03:00,21.02,21.02,21.0,21.01,98855.0
2020-06-26 14:58:00-03:00,21.01,21.03,21.01,21.02,18190.0
2020-06-26 14:57:00-03:00,21.01,21.03,20.99,21.03,53465.0
2020-06-26 14:56:00-03:00,21.0,21.03,21.0,21.01,86190.0
2020-06-26 14:55:00-03:00,21.0,21.01,20.99,21.0,36550.0
2020-06-26 14:54:00-03:00,20.99,21.01,20.98,20.99,20485.0
2020-06-26 14:53:00-03:00,20.99,21.0,20.98,20.99,15895.0
2020-06-26 14:52:00-03:00,21.01,21.01,20.99,21.0,139995.0
2020-06-26 14:51:00-03:00,21.02,21.02,21.0,21.0,31875.0
2020-06-26 14:50:00-03:00,21.03,21.03,21.01,21.01,28815.0
2020-06-26 14:49:00-03:00,21.02,21.03,21.02,21.02,14280.0
2020-06-26 14:48:00-03:00,21.0,21.04,21.0,21.02,31705.0
2020-06-26 14:47:00-03:00,21.0,21.01,20.99,21.01,75225.0
2020-06-26 14:46:00-03:00,20.99,21.02,20.97,20.99,172550.0
2020-06-26 14:45:00-03:00,20.98,21.0,20.97,20.98,202895.0
2020-06-26 14:44:00-03:00,21.01,21.01,20.98,20.98,169320.0
2020-06-26 14:43:00-03:00,21.02,21.03,21.01,21.01,113560.0
2020-06-26 14:42:00-03:00,21.02,21.03,21.02,21.03,21505.0
2020-06-26 14:41:00-03:00,21.02,21.03,21.02,21.02,39525.0
2020-06-26 14:40:00-03:00,21.02,21.03,21.01,21.02,116195.0
2020-06-26 14:39:00-03:00,21.04,21.04,21.02,21.03,43690.0
2020-06-26 14:38:00-03:00,21.05,21.07,21.04,21.04,39695.0
2020-06-26 14:37:00-03:00,21.02,21.07,21.02,21.05,66555.0
2020-06-26 14:36:00-03:00,21.02,21.03,21.01,21.02,191250.0
2020-06-26 14:35:00-03:00,21.02,21.04,21.02,21.02,61710.0
2020-06-26 14:34:00-03:00,21.02,21.03,21.01,21.03,32895.0
2020-06-26 14:33:00-03:00,21.02,21.03,21.01,21.01,129880.0
2020-06-26 14:32:00-03:00,21.01,21.02,21.0,21.01,67575.0
2020-06-26 14:31:00-03:00,21.02,21.02,21.0,21.0,101405.0
